split,kind,query,expected_title,expected_tmdb_id,before_rank,before_top1,after_rank,after_top1,rank_change
train,premise,trying to find the cartoon where two rival toys are stranded at a kid's house full of mutilated toys,Toy Story (1995),862,5,Toy Story 3,4,The Rescuers,1
train,scene,a cowboy toy lights a rocket strapped to a space toy and they soar toward their owner's moving car,Toy Story (1995),862,2,Toy Story 2,2,Toy Story 2,0
train,premise,a stolen cowboy doll discovers he was part of an old television show and a collector wants to ship him overseas,Toy Story 2 (1999),863,1,Toy Story 2,1,Toy Story 2,0
train,scene,the toys cross a busy road hidden under traffic cones and accidentally cause a pileup,Toy Story 2 (1999),863,,The Horse Without a Head,,Toy Story 3,
train,premise,a homemade toy made from a disposable fork keeps trying to throw himself away,Toy Story 4 (2019),301528,1,Toy Story 4,1,Toy Story 4,0
train,scene,a carnival toy duck and bunny imagine attacking an old lady to get a key,Toy Story 4 (2019),301528,1,Toy Story 4,1,Toy Story 4,0
train,premise,what's the animated fish film where a missing kid ends up in a dentist's aquarium,Finding Nemo (2003),12,1,Finding Nemo,1,Finding Nemo,0
train,scene,the dad fish and his forgetful companion bounce across the tops of jellyfish,Finding Nemo (2003),12,1,Finding Nemo,1,Finding Nemo,0
train,premise,a forgetful blue fish starts remembering her parents and looks for them at a marine rescue center,Finding Dory (2016),127380,2,Finding Nemo,2,Finding Nemo,0
train,scene,an octopus drives a truck off the road into the sea,Finding Dory (2016),127380,2,Popeye,3,Popeye,-1
train,premise,a little human girl gets into a monster city and two factory workers try to get her home,"Monsters, Inc. (2001)",585,1,"Monsters, Inc.",1,"Monsters, Inc.",0
train,scene,a one-eyed monster rebuilds a shredded door so his furry friend can see the little girl again,"Monsters, Inc. (2001)",585,1,"Monsters, Inc.",1,"Monsters, Inc.",0
train,premise,two future monster coworkers meet in college and join a team of unpopular students for a scaring contest,Monsters University (2013),62211,1,Monsters University,1,Monsters University,0
train,scene,two monsters trapped in the human world scare adult campers to power their door home,Monsters University (2013),62211,,"Monsters, Inc.",,"Monsters, Inc.",
train,premise,a retired strongman secretly accepts missions on an island without telling his superhero wife,The Incredibles (2004),9806,1,The Incredibles,1,The Incredibles,0
train,scene,a fast little boy discovers he can run across water while escaping flying guards,The Incredibles (2004),9806,,The Secret of Lost Valley,,The Secret of Lost Valley,
train,premise,a superhero dad stays home with the kids while his stretchy wife becomes the public face of legalizing heroes,Incredibles 2 (2018),260513,3,The Incredibles,2,The Incredibles,1
train,scene,the baby fights a raccoon in the backyard and keeps changing powers,Incredibles 2 (2018),260513,,Rascal,,Rascal,
train,premise,a rusty tow truck on an international racing trip gets mistaken for a secret agent,Cars 2 (2011),49013,2,The London Connection,1,Cars 2,1
train,scene,a tow truck discovers that a bomb has been attached to him in london,Cars 2 (2011),49013,,The London Connection,,The London Connection,
train,premise,an awkward restaurant worker owes his cooking success to an animal hiding beneath his hat,Ratatouille (2007),2062,1,Ratatouille,1,Ratatouille,0
train,scene,a rat washes his paws and leads a whole colony in preparing dinner at a restaurant,Ratatouille (2007),2062,1,Ratatouille,1,Ratatouille,0
